,start_year,eruptions
1077,1417.0,1.0
1078,1420.0,3.0
1079,1421.0,1.0
1080,1422.0,2.0
1081,1430.0,5.0
1082,1433.0,1.0
1083,1434.0,1.0
1084,1435.0,1.0
1085,1438.0,1.0
1086,1440.0,10.0
1087,1441.0,2.0
1088,1442.0,1.0
1089,1444.0,3.0
1090,1446.0,1.0
1091,1447.0,1.0
1092,1448.0,1.0
1093,1450.0,15.0
1094,1451.0,1.0
1095,1452.0,1.0
1096,1454.0,3.0
1097,1460.0,5.0
1098,1462.0,1.0
1099,1463.0,1.0
1100,1466.0,1.0
1101,1468.0,1.0
1102,1469.0,3.0
1103,1470.0,6.0
1104,1471.0,4.0
1105,1473.0,1.0
1106,1474.0,1.0
1107,1477.0,2.0
1108,1478.0,1.0
1109,1479.0,1.0
1110,1480.0,6.0
1111,1481.0,1.0
1112,1482.0,1.0
1113,1483.0,1.0
1114,1485.0,1.0
1115,1487.0,1.0
1116,1488.0,1.0
1117,1490.0,3.0
1118,1492.0,2.0
1119,1493.0,1.0
1120,1494.0,1.0
1121,1497.0,1.0
1122,1500.0,12.0
1123,1503.0,1.0
1124,1504.0,1.0
1125,1505.0,2.0
1126,1506.0,1.0
1127,1509.0,2.0
1128,1510.0,8.0
1129,1511.0,1.0
1130,1512.0,3.0
1131,1515.0,1.0
1132,1516.0,1.0
1133,1518.0,2.0
1134,1519.0,2.0
1135,1521.0,3.0
1136,1522.0,1.0
1137,1523.0,1.0
1138,1524.0,5.0
1139,1525.0,1.0
1140,1526.0,1.0
1141,1527.0,2.0
1142,1528.0,4.0
1143,1529.0,1.0
1144,1530.0,5.0
1145,1531.0,1.0
1146,1532.0,1.0
1147,1533.0,2.0
1148,1534.0,1.0
1149,1535.0,2.0
1150,1536.0,1.0
1151,1537.0,2.0
1152,1538.0,3.0
1153,1539.0,2.0
1154,1540.0,4.0
1155,1541.0,3.0
1156,1542.0,4.0
1157,1543.0,2.0
1158,1544.0,1.0
1159,1545.0,1.0
1160,1547.0,1.0
1161,1548.0,4.0
1162,1550.0,28.0
1163,1551.0,2.0
1164,1552.0,1.0
1165,1553.0,1.0
1166,1554.0,4.0
1167,1555.0,1.0
1168,1557.0,1.0
1169,1558.0,3.0
1170,1560.0,7.0
1171,1561.0,1.0
1172,1562.0,3.0
1173,1563.0,1.0
1174,1564.0,4.0
1175,1565.0,1.0
1176,1566.0,5.0
1177,1567.0,1.0
1178,1568.0,1.0
1179,1569.0,1.0
1180,1570.0,9.0
1181,1571.0,1.0
1182,1572.0,1.0
1183,1573.0,1.0
1184,1574.0,2.0
1185,1575.0,3.0
1186,1576.0,4.0
1187,1578.0,1.0
1188,1579.0,4.0
1189,1580.0,5.0
1190,1581.0,1.0
1191,1582.0,6.0
1192,1583.0,2.0
1193,1584.0,3.0
1194,1585.0,5.0
1195,1586.0,3.0
1196,1587.0,4.0
1197,1588.0,1.0
1198,1590.0,8.0
1199,1591.0,3.0
1200,1592.0,2.0
1201,1593.0,1.0
1202,1594.0,1.0
1203,1595.0,5.0
1204,1596.0,1.0
1205,1597.0,4.0
1206,1598.0,5.0
1207,1600.0,14.0
1208,1603.0,2.0
1209,1604.0,2.0
1210,1605.0,4.0
1211,1606.0,2.0
1212,1607.0,1.0
1213,1608.0,2.0
1214,1609.0,2.0
1215,1610.0,6.0
1216,1611.0,2.0
1217,1612.0,5.0
1218,1613.0,4.0
1219,1614.0,2.0
1220,1615.0,2.0
1221,1616.0,3.0
1222,1617.0,2.0
1223,1618.0,2.0
1224,1619.0,1.0
1225,1620.0,5.0
1226,1622.0,3.0
1227,1623.0,5.0
1228,1625.0,4.0
1229,1626.0,2.0
1230,1628.0,2.0
1231,1629.0,2.0
1232,1630.0,3.0
1233,1631.0,4.0
1234,1632.0,4.0
1235,1634.0,3.0
1236,1635.0,4.0
1237,1636.0,1.0
1238,1637.0,5.0
1239,1638.0,5.0
1240,1640.0,10.0
1241,1641.0,5.0
1242,1642.0,3.0
1243,1643.0,4.0
1244,1644.0,3.0
1245,1645.0,3.0
1246,1646.0,4.0
1247,1647.0,2.0
1248,1648.0,3.0
1249,1649.0,4.0
1250,1650.0,18.0
1251,1651.0,4.0
1252,1652.0,5.0
1253,1653.0,1.0
1254,1654.0,2.0
1255,1655.0,4.0
