Volcano Name,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
Kujusan,2.0,1675.0,6.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,2.0,1662.0,1.0,26.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,3.0,370.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,4.0,-100.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,4.0,-990.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,,-1720.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,4.0,-2440.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,,-3110.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,4.0,-3780.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,,-4490.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,,-7180.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kujusan,4.0,-9160.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",33.086,131.249,1791,Stratovolcano(es),
Kunlun Volcanic Group,2.0,1951.0,5.0,27.0,,,,China,Kamchatka and Mainland Asia,35.52,80.2,5808,Pyroclastic cone(s),
Kupreanof,1.0,1987.0,3.0,10.0,1987.0,3.0,10.0,United States,Alaska,56.011,-159.797,1895,Stratovolcano,
Kurikomayama,2.0,1950.0,1.0,15.0,,,,Japan,"Japan, Taiwan, Marianas",38.961,140.788,1627,Stratovolcano,
Kurikomayama,2.0,1946.0,11.0,24.0,,,,Japan,"Japan, Taiwan, Marianas",38.961,140.788,1627,Stratovolcano,
Kurikomayama,1.0,1944.0,11.0,20.0,1944.0,12.0,0.0,Japan,"Japan, Taiwan, Marianas",38.961,140.788,1627,Stratovolcano,
Kurikomayama,2.0,1744.0,2.0,3.0,,,,Japan,"Japan, Taiwan, Marianas",38.961,140.788,1627,Stratovolcano,
Kurikomayama,1.0,1726.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",38.961,140.788,1627,Stratovolcano,
Kurikomayama,1.0,1450.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",38.961,140.788,1627,Stratovolcano,
Kurikomayama,,-3540.0,0.0,0.0,,,,Japan,"Japan, Taiwan, Marianas",38.961,140.788,1627,Stratovolcano,
Kurile Lake,7.0,-6440.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.45,157.12,81,Caldera,Radiocarbon
Kurile Lake,,-7550.0,0.0,0.0,,,,Russia,Kamchatka and Mainland Asia,51.45,157.12,81,Caldera,Radiocarbon
