,Volcano Name,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
507,Hornopiren,Chile,Chile-S,-41.873999999999995,-72.431,1572.0,Stratovolcano,Holocene
508,Hromundartindur,Iceland,Iceland-S,64.07300000000001,-21.201999999999998,540.0,Stratovolcano,Holocene?
509,Hualalai,United States,Hawaiian Is,19.692,-155.87,2523.0,Shield volcano,Historical
510,Huanquihue Group,Argentina,Argentina,-39.87,-71.55,1300.0,Pyroclastic cone,Holocene
511,Huaynaputina,Peru,Peru,-16.608,-70.85,4850.0,Stratovolcano,Historical
512,Hudson Mountains,Antarctica,Antarctica,-74.33,-99.42,749.0,Stratovolcano,Uncertain
513,"Hudson, Cerro",Chile,Chile-S,-45.9,-72.97,1905.0,Stratovolcano,Historical
514,Huequi,Chile,Chile-S,-42.376999999999995,-72.578,1318.0,Stratovolcano,Historical
515,Huila,Colombia,Colombia,2.92,-76.05,5365.0,Stratovolcano,Historical
516,Hulubelu,Indonesia,Sumatra,-5.35,104.6,1040.0,Caldera,Fumarolic
517,"Humeros, Los",Mexico,Mexico,19.68,-97.45,3150.0,Caldera,Holocene
518,Hunga Tonga-Hunga Ha'apai,Tonga,Tonga-SW Pacific,-20.57,-175.38,0.0,Submarine volcano,Historical
519,Hunter Island,Pacific Ocean,SW Pacific,-22.4,172.05,297.0,Stratovolcano,Historical
520,Hutapanjang,Indonesia,Sumatra,-2.33,101.6,2021.0,Stratovolcano,Holocene
522,Hydrographers Range,Papua New Guinea,New Guinea,-9.0,148.37,1915.0,Stratovolcano,Holocene
523,Iamalele,Papua New Guinea,D'Entrecasteaux Is,-9.52,150.53,200.0,Lava dome,Holocene
524,Ibu,Indonesia,Halmahera-Indonesia,1.475,127.64200000000001,1325.0,Stratovolcano,Historical
525,Ibusuki Volc Field,Japan,Kyushu-Japan,31.22,130.57,922.0,Caldera,Historical
526,Ichinsky,Russia,Kamchatka,55.68,157.73,3621.0,Stratovolcano,Holocene
527,Iettunup,Russia,Kamchatka,58.4,161.08,1340.0,Shield volcano,Holocene
528,Igwisi Hills,Tanzania,Africa-E,-4.87,31.92,0.0,Tuff cone,Holocene
529,Ijen,Indonesia,Java,-8.058,114.242,2799.0,Stratovolcano,Historical
530,Iktunup,Russia,Kamchatka,58.08,160.77,2300.0,Shield volcano,Holocene
531,Iliamna,United States,Alaska-SW,60.03,-153.08,3053.0,Stratovolcano,Historical
532,Iliboleng,Indonesia,Lesser Sunda Is,-8.342,123.258,1659.0,Stratovolcano,Historical
533,Ililabalekan,Indonesia,Lesser Sunda Is,-8.53,123.42,1018.0,Stratovolcano,Fumarolic
534,Ilimuda,Indonesia,Lesser Sunda Is,-8.478,122.671,1100.0,Stratovolcano,Fumarolic
535,Iliwerung,Indonesia,Lesser Sunda Is,-8.54,123.59,1018.0,Complex volcano,Historical
536,Illiniza,Ecuador,Ecuador,-0.659,-78.714,5248.0,Stratovolcano,Holocene
537,Ilopango,El Salvador,El Salvador,13.672,-89.053,450.0,Caldera,Historical
538,Ilyinsky,Russia,Kamchatka,51.49,157.2,1578.0,Stratovolcano,Historical
539,Imun,Indonesia,Sumatra,2.15,98.93,1505.0,Unknown,Holocene
540,Imuruk Lake,United States,Alaska-W,65.6,-163.92,610.0,Shield volcano,Radiocarbon
541,In Ezzane Volc Field,Algeria,Africa-N,23.0,10.833,,Volcanic field,Holocene?
542,Indian Heaven,United States,US-Washington,45.93,-121.82,1513.0,Shield volcano,Radiocarbon
543,Ingakslugwat Hills,United States,Alaska-W,61.43,-164.47,190.0,Cinder cone,Holocene
544,Inielika,Indonesia,Lesser Sunda Is,-8.73,120.98,1559.0,Complex volcano,Historical
545,Inierie,Indonesia,Lesser Sunda Is,-8.875,120.95,2245.0,Stratovolcano,Fumarolic
546,Inyo Craters,United States,US-California,37.692,-119.02,2629.0,Lava dome,Radiocarbon
547,Ipala Volc Field,Guatemala,Guatemala,14.55,-89.63,1650.0,Stratovolcano,Holocene
548,Iraya,Philippines,Luzon-N of,20.469,122.01,1009.0,Stratovolcano,Historical
549,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432.0,Stratovolcano,Historical
550,Iriga,Philippines,Luzon-Philippines,13.457,123.45700000000001,1196.0,Stratovolcano,Historical
